FYNR,Fylke,#,Navn,Parti,Tilrådingens punkt A,Lovens overskrift og loven i sin helhet,Vara for:,Twitter,Facebook,Blog,Bilde
19,Troms,137,Irene Lange Nordahl,Sp,Mot,Mot
17,Nord-Trøndelag,138,Gerd Janne Kristoffersen,A,For,For,,,http://www.facebook.com/profile.php?id=1262650997
17,Nord-Trøndelag,139,Arild Stokkan-Grande,A,For,For,,http://www.twitter.com/stokkangrande,http://www.facebook.com/people/Arild-Stokkan-Grande/830340113
17,Nord-Trøndelag,140,Robert Eriksson,FrP,Mot,Mot
17,Nord-Trøndelag,141,Christina Nilsson Ramsøy,Sp,Mot,Mot
17,Nord-Trøndelag,142,Susanne Bratli,A,For,For,,http://www.twitter.com/susannebratli,http://www.facebook.com/profile.php?id=606540822
17,Nord-Trøndelag,143,Lars Myraune,H,For,For
16,Sør-Trøndelag,144,Gunn Karin Gjul,A,For,For,,http://www.twitter.com/gunnkaringjul,http://www.facebook.com/gunnkaringjul,http://www.gunnkaringjul.blogspot.com/
16,Sør-Trøndelag,145,Per Sandberg,FrP,Mot,Mot
16,Sør-Trøndelag,146,Jorodd Asphjell,A,For,For,,http://www.twitter.com/jorodd,http://nb-no.facebook.com/people/Jorodd-Asphjell/1237447911
16,Sør-Trøndelag,147,Linda C. Hofstad Helleland,H,Mot,Mot
16,Sør-Trøndelag,148,Eva Kristin Hansen,A,For,For,,http://www.twitter.com/evakristin,http://www.facebook.com/eva.kristin.hansen
16,Sør-Trøndelag,149,Tord Lien,FrP,Mot,Mot
16,Sør-Trøndelag,150,Arne L. Haugen,A,For,For,Trond Giske
16,Sør-Trøndelag,151,Snorre Serigstad Valen,SV,Mot,Mot
16,Sør-Trøndelag,152,Heidi Greni,Sp,Mot,Mot
16,Sør-Trøndelag,153,Øyvind Håbrekke,KrF,Mot,Mot
7,Vestfold,154,Dag Terje Andersen,A,For,For,,http://twitter.com/DagTerjeA
7,Vestfold,155,Anders Anundsen,FrP,Mot,Mot
7,Vestfold,156,Svein Flåtten,H,For,For
7,Vestfold,157,Sonja Mandt,A,For,For,,,http://nb-no.facebook.com/people/Sonja-Mandt-Bartholsen/750305305
7,Vestfold,158,Per Arne Olsen,FrP,Mot,Mot
7,Vestfold,159,Steinar Gullvåg,A,For,For,,,http://www.facebook.com/steinar.gullvag
7,Vestfold,160,Inga Marte Thorkildsen,SV,Mot,Mot
1,Østfold,161,Svein Roald Hansen,A,For,For
1,Østfold,162,Ulf Leirstein,FrP,Mot,Mot
1,Østfold,163,Irene Johansen,A,For,For,,http://www.twitter.com/irehanse,http://www.facebook.com/profile.php?id=1325457545
1,Østfold,164,Ingjerd Schou,H,For,For
1,Østfold,165,Jon Jæger Gåsvatn,FrP,Mot,Mot
1,Østfold,166,Thor Erik Forsberg,A,For,For,,http://www.twitter.com/StemForsberg,http://www.facebook.com/profile.php?id=664942528
1,Østfold,167,Wenche Olsen,A,For,For
1,Østfold,168,Vigdis Giltun,FrP,Mot,Mot
1,Østfold,169,Line Henriette Hjemdal,KrF,Mot,Mot
