person_id,personal_id,initials,first_name,last_name,position_no,position_en,party_id,period_id,constituency_code_new,constituency_name,rep_id,sup_id
831,2599,PEUT,Per Alfred,Utsi,Distriktssekretær i LO,District secretary in the Norwegian Confederation,21,118,20900,Finnmark fylke,,1
831,2599,PEUT,Per Alfred,Utsi,Distriktssekretær i LO,District secretary in the Norwegian Confederation,21,122,20900,Finnmark fylke,2,
831,2599,PEUT,Per Alfred,Utsi,Distriktssekretær i LO,District secretary in the Norwegian Confederation,21,126,20900,Finnmark fylke,3,
903,2824,PEAA,Per Almar,Aas,Skolestyrer,Headmaster,51,114,19900,Troms fylke,,1
903,2824,PEAA,Per Almar,Aas,Skolestyrer,Headmaster,51,118,19900,Troms fylke,6,
903,2824,PEAA,Per Almar,Aas,Skolestyrer,Headmaster,51,122,19900,Troms fylke,4,
903,2824,PEAA,Per Almar,Aas,Skolestyrer,Headmaster,51,126,19900,Troms fylke,6,
903,2824,PEAA,Per Almar,Aas,Skolestyrer,Headmaster,51,130,19900,Troms fylke,6,
1349,2250,PESK,Per Arne,Skomsø,Rektor,Headmaster,14,134,15900,Møre og Romsdal fylke,,1
30159,5004243,PO,Per Arne,Olsen,Sekretariatsleder,Leader of (party-) secretariat,81,146,7900,Vestfold fylke,,2
30159,5004243,PO,Per Arne,Olsen,,,81,154,7900,Vestfold fylke,2,
30159,5004243,PO,Per Arne Lodding,Olsen,Ordfører,Mayor,81,150,7900,Vestfold fylke,,3
1269,1687,PEMA,Per Eggum,Mauseth,Kommunalråd,City Commissioner,14,134,3900,Oslo,,1
30764,5004620,PEE,Per Egil,Evensen,,,81,150,1900,Østfold fylke,,1
2284,1746,PEM,Per Erik,Monsen,Adjunkt,Teacher (Norw. <em>'adjunkt'</em>),81,142,7900,Vestfold fylke,7,
2284,1746,PEM,Per Erik,Monsen,Lærer/adjunkt,Teacher (Norw. <em>'adjunkt'</em>),81,146,7900,Vestfold fylke,8,
2193,1565,PEIL,Per Ivar,Lied,Student,Student,41,138,15900,Møre og Romsdal fylke,,1
2193,1565,PEIL,Per Ivar,Lied,Student,Student,41,142,15900,Møre og Romsdal fylke,,3
351,1190,PEHU,Per J.,Husabø,Forsøksleder,Test leader,51,122,14900,Sogn og Fjordane fylke,2,
351,1190,PEHU,Per J.,Husabø,Forsøksleder,Test leader,51,126,14900,Sogn og Fjordane fylke,3,
26931,1333,PEJJ,Per J.,Jordal,Cand.jur,Cand.jur,41,146,12900,Hordaland fylke,,4
30780,5004622,PJE,Per Johannes,Ervik,,,81,150,16900,Sør-Trøndelag fylke,,5
30154,5004238,PJS,Per John,Skjervik,Pensjonist,Pensioner,71,146,1900,Østfold fylke,,5
11227,,,Per Klingenberg,Hestetun,Gårdbruker,Farmer,31,71,14900,Sogn og Fjordane fylke,5,
11227,,,Per Klingenberg,Hestetun,Gårdbruker,Farmer,31,74,14900,Sogn og Fjordane fylke,4,
11227,,,Per Klingenberg,Hestetun,Gårdbruker,Farmer,31,77,14900,Sogn og Fjordane fylke,3,
1328,2256,PEKS,Per Kristian,Skulberg,Lege,Physician,41,134,1900,Østfold fylke,,2
30781,5004623,PKD,Per Kristian,Dahl,,,21,150,1900,Østfold fylke,,2
30782,5004624,PKN,Per Kristian,Nielsen,,,51,150,3900,Oslo,,2
30783,5004625,PKP,Per Kristian,Paulsen,,,21,150,7900,Vestfold fylke,,5
26119,832,PEGO,Per M.,Goverud,,,41,102,7900,Vestfold fylke,,1
411,1364,PEKA,Per Magnus,Karstensen,Lektor,Master (Norw. <em>'lektor'</em>),21,110,18900,Nordland fylke,4,
411,1364,PEKA,Per Magnus,Karstensen,Lektor,Master (Norw. <em>'lektor'</em>),21,114,18900,Nordland fylke,3,
411,1364,PEKA,Per Magnus,Karstensen,Lektor,Master (Norw. <em>'lektor'</em>),21,118,18900,Nordland fylke,8,
411,1364,PEKA,Per Magnus,Karstensen,Skoledirektør,Director General of Schooling,21,122,18900,Nordland fylke,9,
1149,2042,PERS,Per Martin,Risvik,Næringsdrivende,Tradesman,81,134,16900,Sør-Trøndelag fylke,7,
1171,121,PEAS,Per Odin,Asphaug,Tannlege,Dentist,71,130,16900,Sør-Trøndelag fylke,,1
1171,121,PEAS,Per Odin,Asphaug,Tannlege,Dentist,71,134,16900,Sør-Trøndelag fylke,,1
2134,1624,POL,Per Olaf,Lundteigen,Gårdbruker,Farmer,41,138,6900,Buskerud fylke,4,
2134,1624,POL,Per Olaf,Lundteigen,Gardbrukar,Farmer,41,150,6900,Buskerud fylke,9,
2134,1624,POL,Per Olaf,Lundteigen,Gardbrukar,Farmer,41,154,6900,Buskerud fylke,9,
30786,5004628,PLA,Per Ole,Larsen,,,41,150,18900,Nordland fylke,,4
1342,2706,PEOW,Per Ove,Width,Markedssjef,Market leader,81,134,7900,Vestfold fylke,,2
1342,2706,PEOW,Per Ove,Width,Markedssjef,Market leader,81,142,7900,Vestfold fylke,2,
1342,2706,PEOW,Per Ove,Width,Markedssjef/anleggsingeniør,Market leader / construction engineer,81,146,7900,Vestfold fylke,3,
1342,2706,PEOW,Per Ove,Width,"Markedssjef, anleggsingeniør","Market leader, construction engineer",81,150,7900,Vestfold fylke,2,
2330,389,PB,Per Roar,Bredvold,Selvstendig,Independent,81,142,4900,Hedmark fylke,5,
2330,389,PB,Per Roar,Bredvold,Selvstendig næringsdrivende,Self-employed,81,146,4900,Hedmark fylke,5,
2330,389,PB,Per Roar,Bredvold,Selvstendig næringsdrivende,Self-employed,81,150,4900,Hedmark fylke,3,
2330,389,PB,Per Roar,Bredvold,Selvstendig næringsdrivende,Self-employed,81,154,4900,Hedmark fylke,3,
783,2465,PESÆ,Per Rolf,Sævik,Fisker,Fisherman,51,122,15900,Møre og Romsdal fylke,,1
783,2465,PESÆ,Per Rolf,Sævik,Fisker,Fisherman,51,126,15900,Møre og Romsdal fylke,,2
783,2465,PESÆ,Per Rolf,Sævik,Disponent,General manager,51,130,15900,Møre og Romsdal fylke,,3
783,2465,PESÆ,Per Rolf,Sævik,Disponent,General manager,51,134,15900,Møre og Romsdal fylke,10,
30287,3858,PRV,Per Rune,Vereide,Lagerarbeider,Warehouse worker,41,134,14900,Sogn og Fjordane fylke,,3
30788,5004358,PRH,Per Rune,Henriksen,Tømrer/organisasjonssekretær,Carpenter / organizational secretary,21,150,12900,Hordaland fylke,7,
30788,5004358,PRH,Per Rune,Henriksen,Tømrer/organisasjonssekretær,Carpenter / organizational secretary,21,154,12900,Hordaland fylke,7,
328,1114,PEHE,Per Severin,Hjermann,Bonde,Farmer,41,98,14900,Sogn og Fjordane fylke,2,
328,1114,PEHE,Per Severin,Hjermann,Bonde,Farmer,41,102,14900,Sogn og Fjordane fylke,2,
30160,5004244,PSO,Per Steinar,Osmundnes,Student,Student,51,146,14900,Sogn og Fjordane fylke,,1
1327,2429,PESV,Per Torbjørn,Svendsen,Lektor,Master (Norw. <em>'lektor'</em>),14,134,2900,Akershus fylke,,2
2041,1323,PEJO,Per Yngvar,Johnsen,,,51,122,2900,Akershus fylke,,1
30158,5004242,PNI,Per Åge,Nilsen,,,21,146,9900,Aust-Agder fylke,,3
30147,5004241,PN,Per-Anton,Nesjan,Småbruker,Smallholder,14,146,18900,Nordland fylke,,5
204,728,PKF,Per-Kristian,Foss,Student,Student,71,122,3900,Oslo,,2
204,728,PKF,Per-Kristian,Foss,Konsulent,Consultant,71,126,3900,Oslo,15,
204,728,PKF,Per-Kristian,Foss,Konsulent,Consultant,71,130,3900,Oslo,12,
204,728,PKF,Per-Kristian,Foss,Konsulent,Consultant,71,134,3900,Oslo,7,
204,728,PKF,Per-Kristian,Foss,Konsulent,Consultant,71,138,3900,Oslo,4,
204,728,PKF,Per-Kristian,Foss,Konsulent,Consultant,71,142,3900,Oslo,2,
204,728,PKF,Per-Kristian,Foss,Konsulent/cand.mag,"Consultant, cand.mag",71,146,3900,Oslo,1,
204,728,PKF,Per-Kristian,Foss,Konsulent/statsråd cand.mag,"Consultant, Councillor of State, cand.mag",71,150,3900,Oslo,2,
204,728,PKF,Per-Kristian,Foss,Konsulent/statsråd cand.mag,"Consultant, Councillor of State, cand.mag",71,154,3900,Oslo,2,
30779,5004621,PERL,Per-Olav,Lauvstad,,,14,150,2900,Akershus fylke,,4
30162,5004246,PTA,Per-Willy,Amundsen,"Programutvikler, privat næringsdri","Program developer, self-employed",81,150,19900,Troms fylke,4,
30162,5004246,PTA,Per-Willy,Amundsen,"Programutvikler, privat næringsdri","Program developer, self-employed",81,154,19900,Troms fylke,4,
30162,5004246,PTA,Per-Willy Trudvang,Amundsen,,,81,146,19900,Troms fylke,,1
30789,5004630,PWE,Pernille With,Egeberg,,,71,150,4900,Hedmark fylke,,1
10301,,,Peter,Birch-Reiche,Fhv. Statsraad,Former Councillor of State,71,41,88614,"Kristiania, Hønefoss og Kongsvinger",4,
10678,,,Peter,Elieson,Krigsassessor,War assessor,98,3,1900,Smaalenenes Amt,3,
11296,,,Peter,Holm,Kateket,Catechist,98,13,9010,Østerrisør,1,
11469,,,Peter,Jebsen,Fabrikeier,Factory owner,98,23,12010,Bergen,3,
11469,,,Peter,Jebsen,"Fabrikeier, konsul",Factory owner and konsul,98,29,12010,Bergen,2,
11481,,,Peter,Jensen,Sogneprest,Vicar,98,19,19900,Tromsø Amt,1,
11481,,,Peter,Jensen,Sogneprest,Vicar,98,20,19900,Tromsø Amt,1,
11481,,,Peter,Jensen,Provst,Dean,98,23,19900,Tromsø Amt,1,
11530,,,Peter,Johnsen,Underofficer,Petty officer,98,0,99750,Sø-Defensionen,3,
12075,,,Peter,Motzfeldt,Vicekommandant paa Bergenhus,Vice-commandor (of Bergenhus fort),98,-1,12010,Bergen,2,
12075,,,Peter,Motzfeldt,Kaptein,Captain,98,0,99710,Artilleri-Corpset,1,
12347,,,Peter,Petersen,Titulær bergraad,Titular mining councillor,98,5,7900,Jarlsberg og Larviks amt,2,
13079,,,Peter,Valeur,Postmester,Postmaster,63,56,10011,"1ste kreds, Fæstningen",1,
30151,5004235,PEG,Peter,Gitmark,,,71,146,10900,Vest-Agder fylke,,1
12588,,,Peter jr.,Schmidt,Grosserer,Grocer,98,0,16010,Trondheim,2,
11788,,,Peter Andreas,Larsen,Gaardbruger,Farmer,31,47,19900,Tromsø Amt,2,
11788,,,Peter Andreas,Larsen,Gaardbruger,Farmer,31,50,19900,Tromsø Amt,2,
12016,,,Peter Andreas,Michelsen,Konditor,Confectioner,31,47,12010,Bergen,,2
12175,,,Peter Andreas,Nilsen,Typograf,Typographer,31,47,88623,Trondhjem og Levanger,,2
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,13,17900,Nordre Trondhjems Amt,3,
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,15,17900,Nordre Trondhjems Amt,2,
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,16,17900,Nordre Trondhjems Amt,1,
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,17,17900,Nordre Trondhjems Amt,4,
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,18,17900,Nordre Trondhjems Amt,3,
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,19,17900,Nordre Trondhjems Amt,1,
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,20,17900,Nordre Trondhjems Amt,3,
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,23,17900,Nordre Trondhjems Amt,2,
12904,,,Peter Andreas,Sæther,"Lærer, kirkesanger",Teacher and precentor,98,26,17900,Nordre Trondhjems Amt,4,
10995,,,Peter Anton,Grøn,Skibsreder,Shipowner,31,47,7810,Larvik og Sandefjord,,1
10883,,,Peter Anton Olsen,Færøvik,Materialforvalter,Stock clerk,71,68,12011,1ste kreds Nygaard,,1
10883,,,Peter Anton Olsen,Færøvik,Materialforvalter,Stock clerk,71,71,12010,Bergen,,2
10883,,,Peter Anton Olsen,Færøvik,Materialforvalter,Stock clerk,71,74,12010,Bergen,,1
10883,,,Peter Anton Olsen,Færøvik,Materialforvalter,Stock clerk,71,77,12010,Bergen,,1
10884,,,Peter Berntsen,Følling,Garvermester,Tanner,31,44,88623,Trondhjem og Levanger,,2
12375,,,Peter Blankenborg,Prydz,Kaptein,Captain,98,0,99730,Nordenfjeldske Infanteri-Regiment,1,
10396,,,Peter Christian,Boye,Sogneprest,Vicar,98,8,17900,Nordre Trondhjems Amt,1,
