last_name,first_name,years_lived,position_type,position_department,position_years,source,Column 8
Bachke,Ole Andreas,1830-1890,str,S,1880-1881,"Bachke, Ole Andreas (1830-1890) str JD 1879-1880, str S 1880, str S 1880-1881, str JD 1881-1882, str RevD 1882-1884, også kst stm 1884",
Bachke,Ole Andreas,1830-1890,str,JD,1881-1882,"Bachke, Ole Andreas (1830-1890) str JD 1879-1880, str S 1880, str S 1880-1881, str JD 1881-1882, str RevD 1882-1884, også kst stm 1884",
Bachke,Ole Andreas,1830-1890,str,RevD,1882-1884,"Bachke, Ole Andreas (1830-1890) str JD 1879-1880, str S 1880, str S 1880-1881, str JD 1881-1882, str RevD 1882-1884, også kst stm 1884",
Bachke,Ole Andreas,1830-1890,også kst stm,,1884,"Bachke, Ole Andreas (1830-1890) str JD 1879-1880, str S 1880, str S 1880-1881, str JD 1881-1882, str RevD 1882-1884, også kst stm 1884",
Bakervik,Rune,1970-,vik pol rådg,FD,2009,"Bakervik, Rune (1970-)vik pol rådg FD 2009",
Bakkane,Berit K. H.,1963-,pers sekr,BFD,1991-1992,"Bakkane, Berit K. H. (1963-) pers sekr BFD 1991-1992, pol rådg BFD 1992",
Bakkane,Berit K. H.,1963-,pol rådg,BFD,1992,"Bakkane, Berit K. H. (1963-) pers sekr BFD 1991-1992, pol rådg BFD 1992",
Bakke,Arve,1952-,stsekr,AD,1996,"Bakke, Arve (1952-) stsekr AD 1996, stsekr PFD 1997",
Bakke,Arve,1952-,stsekr,PFD,1997,"Bakke, Arve (1952-) stsekr AD 1996, stsekr PFD 1997",
Bakke,Hallvard,1943-,str,HSD,1976-1979,"Bakke, Hallvard (1943-) str HSD 1976-1979, str KD 1986-1989",
Bakke,Hallvard,1943-,str,KD,1986-1989,"Bakke, Hallvard (1943-) str HSD 1976-1979, str KD 1986-1989",
Bakke,Olav,1920-,pers sekr,LD,1963-1965,"Bakke, Olav (1920-) pers sekr LD 1963-1965",
Bakken,Anne-Lise,1952-,str,FAD,1986-1988,"Bakken, Anne-Lise (1952-) str FAD 1986-1988",
Bakken,Odd,1957-,pers rådg,SOS,1988-1989,"Bakken, Odd (1957-) pers rådg SOS 1988-1989, pers rådg AAD 1990-1991, pers rådg SOS 1992, pol rådg SOS 1992",
Bakken,Odd,1957-,pers rådg,AAD,1990-1991,"Bakken, Odd (1957-) pers rådg SOS 1988-1989, pers rådg AAD 1990-1991, pers rådg SOS 1992, pol rådg SOS 1992",
