30045,5004274,SHK,Solveig,Horne,Husmor,Housewife,81,154,11900,Rogaland fylke,5,,,,,
30737,5004360,SOM,Sonja,Mandt,Sykepleier,Nurse,21,154,7900,Vestfold fylke,4,,,,,
2196,2201,SONS,Sonja Irene,Sjøli,"Sykepleier, jordmor","Nurse, midwife",71,154,2900,Akershus fylke,12,,,,,
30826,5004371,STEG,Steinar,Gullvåg,Informasjonsdirektør,Public relations director,21,154,7900,Vestfold fylke,6,,,,,
31263,,STRH,Stine Renate,Håheim,Student,Student,21,154,,Oppland fylke,,,,,,
31253,,SUB,Susanne,Bratli,,,21,154,,Nord-Trøndelag fylke,,,,,,
30434,4030,SAF,Svein,Flåtten,Bedriftsleder,Company manager,71,154,7900,Vestfold fylke,3,,,,,
30746,5004389,SAG,Svein,Gjelseth,,,21,154,15900,Møre og Romsdal fylke,,1,,,,
31258,,SHAR,Svein,Harberg,,,71,154,,Aust-Agder fylke,,,,,,
30428,4034,SRH,Svein Roald,Hansen,"Informasjonsdirektør, journalist","Public relations director, journalist",21,154,1900,Østfold fylke,3,,,,,2
2285,1770,SMY,Sverre,Myrli,Deltidsarbeider/student,Part-time worker/student,21,154,2900,Akershus fylke,4,,,,,
30827,5004665,SYG,Sylvi,Graham,Statssekretær,State Secretary,71,154,2900,Akershus fylke,,2,,,,2
30820,5004382,TELA,Terje,Aasland,Distrikssekretær (EL & IT Forbunde,District secretary (in the Electrician and IT work,21,154,8900,Telemark fylke,4,,,,,
30835,5004671,TERH,Terje,Halleland,,,81,154,11900,Rogaland fylke,,3,,,,
30837,5004387,THB,Thomas,Breen,,,21,154,4900,Hedmark fylke,,2,,,,
26974,1572,TL,Thor,Lillehovde,,,21,154,4900,Hedmark fylke,,,,,,
30833,5004670,TEF,Thor Erik,Forsberg,,,21,154,1900,Østfold fylke,,1,,,,
31280,,TIB,Tina,Bru,,,71,154,,Rogaland fylke,,1,,,,
30085,5004314,TMS,Tone Merete,Sønsterud,"Tillitsvalgt, konsulent","Union official, consultant",21,154,4900,Hedmark fylke,,3,,,,
30032,5004297,TBRE,Tor,Bremer,,,21,154,14900,Sogn og Fjordane fylke,,,,,,
31281,,TSU,Tor Sigbjørn,Utsogn,,,81,154,,Vest-Agder fylke,,,,,,
30429,4035,TAS,Tor-Arne,Strøm,Organisasjonsarbeider,Organizational worker,21,154,18900,Nordland fylke,3,,,,,
30801,5004690,TRI,Torbjørn Røe,Isaksen,,,71,154,8900,Telemark fylke,,1,,,,
30831,5004355,TALI,Tord,Lien,Rådgiver (salg og markedsføring),Advisor (marketing),81,154,16900,Sør-Trøndelag fylke,8,,,,,
2154,1854,TON,Tore,Nordtun,Konsulent,Consultant,21,154,11900,Rogaland fylke,2,,,,,
26836,904,TOHA,Tore,Hagebakken,"Statssekretær, journalist","State Secretary, jounalist",21,154,5900,Oppland fylke,5,,,,,2
30086,5004315,TO,Torfinn,Opheim,"Daglig leder, ordfører",Manager/mayor,21,154,11900,Rogaland fylke,10,,,,,
30075,5004313,TMI,Torgeir,Micaelsen,Student,Student,21,154,6900,Buskerud fylke,8,,,,,
30088,5004317,TOT,Torgeir,Trældal,Brannformann,Fire foreman,81,154,18900,Nordland fylke,,2,,,,
2309,2067,TR,Torstein,Rudihagen,Lærer,Teacher,21,154,5900,Oppland fylke,1,,,,,2
30842,5004343,TKK,Tove Karoline,Knutsen,Kulturarbeider,Cultural worker,21,154,19900,Troms fylke,6,,,,,
30844,5004678,TLB,Tove Linnea,Brandvik,Ordfører/senterleder,Mayor / (shopping-) centre leader,21,154,12900,Hordaland fylke,,2,,,,
31277,,TOVT,Tove-Lise,Torve,,,21,154,,Møre og Romsdal fylke,3,,,,,
30064,5004322,TSG,Trine Skei,Grande,Cand.mag,Cand.mag,31,154,3900,Oslo,15,,,,,
1273,1065,TROH,Trond,Helleland,"Konsulent, cand.mag","Consultant, cand.mag",71,154,6900,Buskerud fylke,4,,,,,
2303,799,TG,Trond,Giske,Cand.mag,Cand.mag,21,154,16900,Sør-Trøndelag fylke,1,,,,2,
30805,5004392,TRUW,Truls,Wickholm,,,21,154,3900,Oslo,8,,,,,
30832,5004376,TMV,Trygve Slagsvold,Vedum,"Gårdbruker, organisasjonsrådgiver","Farmer, organizational advisor (Center Party)",41,154,4900,Hedmark fylke,5,,,,,
30061,5004326,UIL,Ulf,Leirstein,Prosjektleder,Project leader,81,154,1900,Østfold fylke,2,,,,,
2292,1417,UEK,Ulf Erik,Knudsen,"Konsulent, diplomøkonom","Consultant, graduate economist",81,154,6900,Buskerud fylke,2,,,,,
30812,5004344,VKG,Vigdis,Giltun,Ortopeditekniker,Orthopaedic technician,81,154,1900,Østfold fylke,7,,,,,
31269,,WO,Wenche,Olsen,,,21,154,,Østfold fylke,4,,,,,
2231,2601,OVA,Øyvind,Vaksdal,"Sjåfør, eiendomsforvalter","Driver, property manager",81,154,11900,Rogaland fylke,1,,,,,
2290,1443,OYK,Øyvind,Korsberg,"Markedskonsulent, selger","Marketing consultant, salesman",81,154,19900,Troms fylke,2,,,,,
26513,924,ØYVH,Øyvind,Halleraker,"Daglig leder, diplomøkonom","Manager, graduate economist",71,154,12900,Hordaland fylke,8,,,,,
26906,1229,ØH,Øyvind,Håbrekke,"Statssekretær, cand.mag","State Secretary, cand.mag",51,154,16900,Sør-Trøndelag fylke,,2,,,,2
30614,5004351,AGES,Åge,Starheim,Avd.leder,Departement manager,81,154,14900,Sogn og Fjordane fylke,3,,,,,
30683,5004353,ASC,Åse,Michaelsen,"Bensinstasjonseier, handling co-or","Petrol station owner, handling co-ordinator",81,154,10900,Vest-Agder fylke,5,,,,,
